site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
209,26,0,16,0,3,3,9,0,3,3,0,0,2,0,5,6,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,17,0,0,4,0,0,0,0,0,3,0,0,,,,,,,
210,44,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,2,0,2,3,5,0,1,4,0,0,1,0,0,4,0,1,0,,,,,,,,,,,,
211,5,0,0,0,0,0,0,0,0,6,3,7,8,0,0,11,0,6,6,0,0,0,0,3,16,17,0,0,0,0,5,6,0,30,0,2,0,0,0,0,0,0,,,,,,,,,,
212,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
213,53,0,0,4,0,0,0,0,0,0,0,0,2,4,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
214,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
215,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
216,42,0,5,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
217,25,0,0,0,0,3,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
218,13,9,0,0,2,0,0,0,1,15,0,7,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,3,4,0,,,,,,,,,
219,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
222,66,0,0,0,0,10,2,0,3,1,4,0,1,10,2,0,3,6,4,2,2,4,2,0,1,11,0,0,1,3,0,0,3,0,4,2,1,0,0,3,1,,,,,,,,,,,
223,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
