site_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
116,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,
122,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,
132,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,,,,,,,,,,
140,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,,,,,,,,,,,,,
158,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
165,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,,,,,,,,,
168,24,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,,,,,,,,,,,,,,,,
173,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,,,,,,,,,,,,,
183,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,,,,,,,,,,,,,,,
189,1,0,1,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,,,,,
190,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,,,,,,,,,,
191,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,,,,,,,,,,
193,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,,,,,,,,,,,
194,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,,,,,,,,,,,,,,,,,,,
195,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,,,,,,,,,,
196,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,4,5,6,7,8,9,0,0,1,2,3,0,0,1,2,3,,,,,,,,,,,,,,,,,,,,
197,24,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,4,5,6,7,8,9,0,,,,,,,,,
198,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,,,,,,,,,,,,,,,,,,,,
200,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,5,6,7,,,,,,,,,,,
201,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,5,6,7,,,,,,,,,,,,
