site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
102,41,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,
105,1,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,,,,,
106,61,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,,,
116,55,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,,,,,,,,,,
122,24,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,
132,67,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,,,,,,,,,,
140,14,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,,,,,,,,,,,,,
158,46,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,,,,,,,,,
165,23,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,,,,,,,,,
168,5,0,0.4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,,,,,,,,,,,,,,,,
173,10,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,,,,,,,,,,,,,
183,19,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,,,
189,47,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,
190,33,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,,,,,,,,,,
191,70,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,
193,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,,,,,,,,,,,
194,63,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,,,,,,,,,,,,,,,,,,,
195,68,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,
196,57,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,0.1778,0,0,0,0.2032,0.1016,0,0,0,,,,,,,,,,,,,,,,,,,,
197,4,0,0.4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,,,,,,,,,
198,36,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,,,,,,,,,,,,,,,,
200,22,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,,,,,,,,,,,
201,20,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,,,,,,,,,,,,
202,65,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,,,,,,,,,,,,,
203,10,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,,,,,,,,,,,
204,49,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,
205,26,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,,,,,,,,,,,,
206,54,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,
207,7,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,,,,,,,,,,,,,,,,
208,53,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,
